brand,correct,total,accuracy
tanmujiang,2,3,66.66666666666666
bobcat,3,3,100.0
Garcia Y Vega,3,3,100.0
jurlique,3,3,100.0
Bruster's Ice Cream,1,3,33.33333333333333
ginetta,3,3,100.0
Bapco,2,3,66.66666666666666
Chef Boyardee,3,3,100.0
norton-2,1,3,33.33333333333333
pontiac,3,3,100.0
BEST EXPRESS-2,0,3,0.0
redken,3,3,100.0
tjoy,3,3,100.0
snow peak-1,1,3,33.33333333333333
Herborist,3,3,100.0
Aveeno,3,3,100.0
Bradford Exchange,3,3,100.0
Citroen,3,3,100.0
royalstar,3,3,100.0
Kolynos,3,3,100.0
xinruncheng,3,3,100.0
macron,3,3,100.0
playmobil,3,3,100.0
china post group corporation,3,3,100.0
bottecchia,3,3,100.0
loblaw,3,3,100.0
luxottica,3,3,100.0
tito's,3,3,100.0
haier,3,3,100.0
strida,3,3,100.0
Aqua Guard,3,3,100.0
Benihana,3,3,100.0
sonos,3,3,100.0
HARMAN KARDON,3,3,100.0
wilson,3,3,100.0
lululemon athletica-1,1,3,33.33333333333333
weixing,3,3,100.0
prudenial,3,3,100.0
simple human,3,3,100.0
wetherm,3,3,100.0
pulser,3,3,100.0
Crayola,3,3,100.0
newegg.com,3,3,100.0
me too,3,3,100.0
yutong-2,0,3,0.0
Clarion,2,3,66.66666666666666
Cola Cao,3,3,100.0
3t cycling,3,3,100.0
Hisense,3,3,100.0
grohe,3,3,100.0
BUGATTI,3,3,100.0
akurra,3,3,100.0
Binatone,3,3,100.0
Embraer,3,3,100.0
sk-ii,3,3,100.0
faceshop,3,3,100.0
Admiral Oversea Corporation,3,3,100.0
mona lisa-3,1,3,33.33333333333333
chang'an-3,1,3,33.33333333333333
bic cristal,3,3,100.0
burley design,3,3,100.0
Lotus Cars,3,3,100.0
Fair and Lovely,3,3,100.0
nos (nitrous oxide systems),3,3,100.0
BELOMO,3,3,100.0
nixon watches-2,2,3,66.66666666666666
2XU,3,3,100.0
pianor,3,3,100.0
Alcatel-2,0,3,0.0
Blue Avocado,3,3,100.0
voluspa,3,3,100.0
Heckler & Koch,2,3,66.66666666666666
Avalon Organic Botanicals,3,3,100.0
sennelier,3,3,100.0
meizu,3,3,100.0
maglite,3,3,100.0
ruffles,2,2,100.0
renesas,2,2,100.0
chinon,2,2,100.0
Carnation,1,2,50.0
Cretacolor,2,2,100.0
Hilleberg,2,2,100.0
Lancia,2,2,100.0
walkman,1,2,50.0
ANCAP-1,0,2,0.0
Joe's Crab Shack,1,2,50.0
BridgePort,2,2,100.0
Absolut,2,2,100.0
Admiral,0,2,0.0
t.j. maxx,2,2,100.0
molten,2,2,100.0
sleemon,2,2,100.0
new holland-2,1,2,50.0
moonbasa,0,2,0.0
clarins,2,2,100.0
sf express,1,2,50.0
rosarita,2,2,100.0
vidyo-2,0,2,0.0
fuyou,2,2,100.0
kichesippi-2,1,2,50.0
zatarain's,2,2,100.0
Coccolino,2,2,100.0
ridley,2,2,100.0
lanvin,2,2,100.0
Etro,1,2,50.0
Cacharel,1,2,50.0
Blue Stratos,2,2,100.0
Hoffmann,1,2,50.0
KITCHEN AID,2,2,100.0
BEATS BY DRE,2,2,100.0
hertz,2,2,100.0
chimei,1,2,50.0
Egnater,2,2,100.0
teamviewer,2,2,100.0
Aubrey Organics,2,2,100.0
yuhangren-2,2,2,100.0
nestle wonder ball,2,2,100.0
titleist,2,2,100.0
hubba wheels,2,2,100.0
Beko,2,2,100.0
quiktrip,2,2,100.0
uber-1,0,2,0.0
baird,2,2,100.0
mona lisa-1,1,2,50.0
Braddington Young,2,2,100.0
nongfu spring-1,1,2,50.0
Brooks Saddle,2,2,100.0
lan-choo,2,2,100.0
simply amish,2,2,100.0
binaca,2,2,100.0
CBCI Telecom,2,2,100.0
A. Turrent,2,2,100.0
tombow,2,2,100.0
cervelo,2,2,100.0
jagex,2,2,100.0
maggiano's little italy,2,2,100.0
Kiehl's,2,2,100.0
Ijml,2,2,100.0
taza chocolate,0,2,0.0
Guantanamera,1,2,50.0
thermos,2,2,100.0
mountainsmith,2,2,100.0
Havells,2,2,100.0
saimaza,2,2,100.0
IBM,2,2,100.0
Haglofs,0,2,0.0
unifon,2,2,100.0
lishen,2,2,100.0
neil pryde-2,0,2,0.0
BenQ,2,2,100.0
LLoyd's,2,2,100.0
Guy Laroche,1,2,50.0
Boulevard,2,2,100.0
airmate,2,2,100.0
miele,2,2,100.0
pigeon,2,2,100.0
cenpin,2,2,100.0
jaeger-lecoultre,2,2,100.0
sentra,2,2,100.0
corneliani,1,2,50.0
Erikli,1,2,50.0
pipidog,2,2,100.0
malata-1,1,2,50.0
Fujitsu Siemens,2,2,100.0
Fujinon,2,2,100.0
Magna-1,2,2,100.0
huari appliance,2,2,100.0
Arturo Fuente,2,2,100.0
Blue Riband,1,2,50.0
prandina,2,2,100.0
xellent swiss,2,2,100.0
peavey,2,2,100.0
soultone,2,2,100.0
pakistan state,0,2,0.0
BaDuYoua,2,2,100.0
Faith Hill Parfums,2,2,100.0
primus,2,2,100.0
lantianliubizhi,1,2,50.0
metcash,2,2,100.0
meng jie-1,1,2,50.0
guerciotti,2,2,100.0
norton-1,2,2,100.0
Kravet,2,2,100.0
loreal,2,2,100.0
surly bikes,2,2,100.0
patagonia,2,2,100.0
Ecco,2,2,100.0
spizzico,2,2,100.0
Big Red,2,2,100.0
shiyou,1,2,50.0
impulse,2,2,100.0
7Days Inn,2,2,100.0
BEST EXPRESS-3,0,2,0.0
JX Holdings,2,2,100.0
Carslan,2,2,100.0
Alain Figaret,2,2,100.0
chatime,1,2,50.0
por larranaga,2,2,100.0
theodora,2,2,100.0
anolon,2,2,100.0
Landwind-1,0,2,0.0
"Bravo!, Cucina Italiana",1,2,50.0
Chocolate Toast Crunch,1,2,50.0
Coca-Cola Zero,0,2,0.0
spalding,2,2,100.0
pantene,2,2,100.0
wolky,1,2,50.0
Arette,2,2,100.0
sprinkle spangles,1,2,50.0
Komperdell,1,2,50.0
yuhangren-1,0,2,0.0
Hovis,2,2,100.0
voltas,2,2,100.0
captain stag,2,2,100.0
76,0,2,0.0
Ampeg,2,2,100.0
iPhone-1,1,2,50.0
xgma,2,2,100.0
E-CLOTH,2,2,100.0
toscanello,2,2,100.0
maxxis,2,2,100.0
supligen,2,2,100.0
marlboro,2,2,100.0
Escada,2,2,100.0
Maizena,2,2,100.0
yongli blueleopard,2,2,100.0
termalgin,1,2,50.0
los statos de luxe,1,2,50.0
Cinnzeo,1,2,50.0
yutong-3,2,2,100.0
Franconia,0,2,0.0
lifan-2,0,2,0.0
Blue Point,2,2,100.0
Lane Furniture,2,2,100.0
Head,2,2,100.0
icbc-1,0,2,0.0
attack,2,2,100.0
Ilford,2,2,100.0
pulaski,2,2,100.0
ceravision,2,2,100.0
Lagunitas,1,2,50.0
Amstrad,2,2,100.0
Ciroc,2,2,100.0
Chocomel,2,2,100.0
boardman bikes,2,2,100.0
siragon,2,2,100.0
Compact,2,2,100.0
viewsonic,2,2,100.0
la sportiva,2,2,100.0
Chipotle Mexican Grill-1,1,2,50.0
lightolier,2,2,100.0
ghd,2,2,100.0
windex,2,2,100.0
Funai,1,2,50.0
Hublot,2,2,100.0
Honey Nut Corn Flakes,2,2,100.0
Makro,1,2,50.0
sofy,1,2,50.0
trueconf,2,2,100.0
anglepoise,2,2,100.0
Chiquita,2,2,100.0
Kookai,2,2,100.0
Biosilk,2,2,100.0
Bootights,2,2,100.0
Era Alaska,0,2,0.0
oakley-1,2,2,100.0
lysoform,2,2,100.0
univox,2,2,100.0
ski-doo,2,2,100.0
pakistan state oil,2,2,100.0
BEST EXPRESS-1,0,2,0.0
new holland-1,1,2,50.0
mak lubricants,2,2,100.0
Barkerville,2,2,100.0
la corona,2,2,100.0
American Crew,2,2,100.0
Karbonn,2,2,100.0
zhoujunji,2,2,100.0
lakme,2,2,100.0
good grips,2,2,100.0
Haceb,2,2,100.0
haro bikes,2,2,100.0
yx energi,2,2,100.0
atlas air,2,2,100.0
zanussi,2,2,100.0
molson exel,2,2,100.0
santa cruz bikes,2,2,100.0
mobil,2,2,100.0
superman stars,1,2,50.0
buscapina,2,2,100.0
Callaway,2,2,100.0
huida,2,2,100.0
BlackBerry,2,2,100.0
BELKIN-2,0,2,0.0
Arri,2,2,100.0
nixon watches-1,0,2,0.0
supor,2,2,100.0
basilisk,2,2,100.0
Kalodont,2,2,100.0
xunxing,2,2,100.0
rowbike,1,2,50.0
Black Angus Steakhouse,2,2,100.0
spira,2,2,100.0
simmtronics,2,2,100.0
Guigoz,2,2,100.0
rockshox,2,2,100.0
Bilisten,2,2,100.0
lupicia,2,2,100.0
Frosty Jack Cider,2,2,100.0
penhaligon's,2,2,100.0
skyworth,2,2,100.0
Brothers Cider,0,2,0.0
weyerbacher,2,2,100.0
hutchinson tires,2,2,100.0
Bols,2,2,100.0
puros indios,2,2,100.0
marin bikes,2,2,100.0
legea-1,0,2,0.0
AKOO,2,2,100.0
gendron bicycles,2,2,100.0
stelton,2,2,100.0
vapiano,2,2,100.0
Coco Pops,0,2,0.0
womai.com,2,2,100.0
phillips cycles,2,2,100.0
westinghouse,2,2,100.0
Auri,2,2,100.0
vigo,1,1,100.0
rocky,1,1,100.0
quesada,0,1,0.0
zendium,1,1,100.0
patek philippe,1,1,100.0
Kola Shaler,0,1,0.0
FruChocs,1,1,100.0
ideagro,1,1,100.0
Faconnable,1,1,100.0
southbeauty-3,0,1,0.0
quick,1,1,100.0
quickchek,0,1,0.0
Bellywashers,1,1,100.0
toscanini's,0,1,0.0
Hanseatic,0,1,0.0
Itautec,1,1,100.0
haagen-dazs,1,1,100.0
paul mitchell,1,1,100.0
Bulls-Eye Barbecue,1,1,100.0
ruby tuesday,1,1,100.0
cheese flavoured moments,1,1,100.0
Ameristar Air Cargo,1,1,100.0
nutren,1,1,100.0
yong master,1,1,100.0
muchachomalo,0,1,0.0
mountain hardwear,1,1,100.0
Baihe,1,1,100.0
lightlife,1,1,100.0
viper,1,1,100.0
wolf brand chili,0,1,0.0
Canada Dry,1,1,100.0
conlia,0,1,0.0
saab,1,1,100.0
bhpetrol,1,1,100.0
rediffusion,1,1,100.0
rinso,1,1,100.0
wudeli,0,1,0.0
Kung Fu Panda Crunchers,0,1,0.0
real ale,0,1,0.0
Adriatica,1,1,100.0
shure,1,1,100.0
tnt,1,1,100.0
jamis bicycles,0,1,0.0
Ciao Bella Gelato Company,1,1,100.0
Kieninger,1,1,100.0
H. P. Bulmer-2,0,1,0.0
Ashridge Cider,1,1,100.0
roadmaster,1,1,100.0
anschutz,1,1,100.0
bigtime,1,1,100.0
liu gong,1,1,100.0
tum yeto,0,1,0.0
Boston Store,0,1,0.0
continental edison,1,1,100.0
Colman's,0,1,0.0
isaura,1,1,100.0
maggi noodles,0,1,0.0
Costa Coffee,0,1,0.0
musco,1,1,100.0
