epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1811.88,0.78051,0.75942,1.10563,0.91919,0.90006,0.93799,0.70584,0.9532,0.66579,1.21581,4.6176e-05,4.6176e-05,4.6176e-05
42,1850.92,0.76931,0.72986,1.10056,0.94325,0.88556,0.93765,0.70939,0.94467,0.66395,1.20808,4.17804e-05,4.17804e-05,4.17804e-05
43,1889.03,0.75945,0.69883,1.0949,0.92753,0.89944,0.93724,0.71299,0.9293,0.6672,1.20165,3.73848e-05,3.73848e-05,3.73848e-05
44,1927.53,0.74397,0.67547,1.08657,0.92571,0.89956,0.94058,0.71511,0.93174,0.65586,1.20743,3.29892e-05,3.29892e-05,3.29892e-05
45,1966.66,0.73978,0.66247,1.08273,0.9281,0.90529,0.94256,0.71809,0.92658,0.64661,1.19453,2.85936e-05,2.85936e-05,2.85936e-05
46,2005.79,0.73773,0.65429,1.07873,0.93142,0.90989,0.93405,0.71585,0.92187,0.64286,1.19708,2.4198e-05,2.4198e-05,2.4198e-05
47,2044.94,0.72509,0.6447,1.07173,0.93475,0.92061,0.94165,0.7188,0.93373,0.64486,1.19754,1.98024e-05,1.98024e-05,1.98024e-05
48,2083.84,0.71566,0.63453,1.06868,0.92327,0.9194,0.94113,0.72231,0.92994,0.63117,1.19747,1.54068e-05,1.54068e-05,1.54068e-05
49,2122.7,0.71559,0.6316,1.06411,0.91578,0.92002,0.94172,0.72212,0.92356,0.63204,1.19154,1.10112e-05,1.10112e-05,1.10112e-05
50,2161.21,0.71135,0.63546,1.06934,0.92439,0.91941,0.94217,0.72107,0.92581,0.63201,1.19063,6.6156e-06,6.6156e-06,6.6156e-06
